Country,Number_of_Locations,Year,Continent
United States,13557,2024,North America
China,6820,2024,Asia
Japan,2989,2024,Asia
France,1589,2024,Europe
Canada,1489,2024,North America
United Kingdom,1470,2024,Europe
Germany,1367,2024,Europe
Brazil,1173,2024,South America
Australia,1068,2024,Oceania
Philippines,792,2024,Asia
Italy,755,2024,Europe
India,665,2024,Asia
Spain,635,2024,Europe
Poland,580,2024,Europe
Saudi Arabia,441,2024,Asia
Taiwan,417,2024,Asia
South Africa,401,2024,Africa
South Korea,398,2024,Asia
Mexico,374,2024,North America
Malaysia,373,2024,Asia
Indonesia,318,2024,Asia
Turkey,274,2024,Asia/Europe
Netherlands,263,2024,Europe
Hong Kong,260,2024,Asia
Thailand,236,2024,Asia
Israel,230,2024,Asia
Argentina,226,2024,South America
United Arab Emirates,210,2024,Asia
Portugal,209,2024,Europe
Austria,206,2024,Europe
Sweden,199,2024,Europe
Egypt,190,2024,Africa
Switzerland,184,2024,Europe
New Zealand,172,2024,Oceania
Singapore,152,2024,Asia
Czechia,128,2024,Europe
Ukraine,124,2024,Europe
Belgium,119,2024,Europe
Guatemala,115,2024,North America
Hungary,115,2024,Europe
Denmark,113,2024,Europe
Chile,112,2024,South America
Romania,106,2024,Europe
Ireland,95,2024,Europe
Puerto Rico,94,2024,North America
Kuwait,91,2024,Asia
Norway,85,2024,Europe
Finland,81,2024,Europe
Panama,81,2024,North America
Venezuela,80,2024,South America
Qatar,79,2024,Asia
Morocco,75,2024,Africa
Colombia,72,2024,South America
Pakistan,69,2024,Asia
Slovakia,47,2024,Europe
Croatia,47,2024,Europe
Jordan,46,2024,Asia
Bulgaria,43,2024,Europe
Macau,39,2024,Asia
Vietnam,37,2024,Asia
Serbia,36,2024,Europe
Ecuador,35,2024,South America
Greece,35,2024,Europe
Oman,35,2024,Asia
Uruguay,34,2024,South America
Bahrain,33,2024,Asia
Peru,30,2024,South America
Azerbaijan,29,2024,Asia
Slovenia,28,2024,Europe
Paraguay,27,2024,South America
El Salvador,25,2024,North America
Georgia,25,2024,Asia
Dominican Republic,23,2024,North America
Lebanon,23,2024,Asia
Cyprus,23,2024,Europe
Lithuania,18,2024,Europe
Reunion,18,2024,Africa
Mauritius,17,2024,Africa
Latvia,14,2024,Europe
Honduras,13,2024,North America
Luxembourg,12,2024,Europe
Moldova,11,2024,Europe
Estonia,11,2024,Europe
Martinique,10,2024,North America
Nicaragua,9,2024,North America
Malta,9,2024,Europe
Guadeloupe,9,2024,North America
Brunei,6,2024,Asia
Curacao,5,2024,North America
United States Virgin Islands,5,2024,North America
Trinidad and Tobago,4,2024,North America
Bahamas,3,2024,North America
French Guiana,3,2024,South America
Aruba,3,2024,North America
Suriname,2,2024,South America
Western Sahara,1,2024,Africa
